tweet_links,created_at,usernames,full_text,language,reply,retweet,like,view
https://twitter.com/maspongki_/status/1665508113078730752,2023-06-04 23:57:32,maspongki_,"PSHT ncen og nek ndi2 wanine kroyokan berlabel kata ""PERSAUDARAAN"" padahal ya perguruan lain adem ayem Iki malah gawe ribut ae kerjaane, gak nek jowo gak diluar jowo arogan merasa paling JOS sak dunyo",in,0,1,14,5620
https://twitter.com/BewoksXmoveUp/status/1665508010708402177,2023-06-04 23:57:08,BewoksXmoveUp,Musuh suporter dan psht itu sego padang. Dadi wis anteng dahar riyen nggih!.,in,0,0,1,1420
https://twitter.com/dz32221/status/1665507990135513088,2023-06-04 23:57:03,dz32221,Psht kont0L,ht,2,0,1,341
https://twitter.com/dreamersye/status/1665507845838651392,2023-06-04 23:56:28,dreamersye,Bubarin PSHT bisa ga sih?,in,0,0,0,213
https://twitter.com/frmnsyhbs/status/1665507835978067969,2023-06-04 23:56:26,frmnsyhbs,"jane nek pengurus PSHT tegas, nek ngawe jeneng organisasi elek iso cabut KTA ne atau apalah itu agar ada efek jera ,Ben do mikir sakdurunge bertindak, jane",in,1,0,4,2831
https://twitter.com/semuaudhselesai/status/1665507722706468865,2023-06-04 23:55:59,semuaudhselesai,itu kaosnya bukan psht mbak,in,0,0,0,449
https://twitter.com/Novemberain03/status/1665507443843952640,2023-06-04 23:54:52,Novemberain03,"Aspirasi sebagian (besar) warga pak : Bubarkan PSHT, karna sudah buat ricuh dimana² dan membuat mental arogan dikalagangan partisan remaja.",in,3,1,19,3932
https://twitter.com/sembada29/status/1665507383966138368,2023-06-04 23:54:38,sembada29,Wkwkwkw di lebar lebarke  tapi pendekar yang lain sudah pintar dan tau masalah ini dengan pendekar yang mana ?,in,0,0,1,481
https://twitter.com/Pai_C1/status/1665507362889691137,2023-06-04 23:54:33,Pai_C1," Senin 05 Juni 2023
Pernyataan Damai antara PSHT dan Brajamusti atas kejadian semalam.
...
 Jogja ",in,6,11,38,8177
https://twitter.com/mafikalamuhu/status/1665506887356551168,2023-06-04 23:52:40,mafikalamuhu,"Wah kalau kayak gini gw setuju sih sama PSHT, suporter kampungan emang meresahkan",in,0,0,0,352
https://twitter.com/in_makiy/status/1665506834122252292,2023-06-04 23:52:27,in_makiy,Padahal kan penyebabnya karena suami anggota DPRD yg kebetulan anggota PSHT melerai. Kalo ada partai baru ikut ya sama aja ada 2 partai yg rusuh?,in,0,0,0,944
