tweet_links,created_at,usernames,full_text,language,reply,retweet,like,view
https://twitter.com/Bocahla1929/status/1665508714546188289,2023-06-04 23:59:55,Bocahla1929,Ra usah obong obong. Yen arep moro yo mngkato dewe full sakral nek pendekar tenan.,in,0,0,13,3868
https://twitter.com/tanto_majukarep/status/1665508550184173568,2023-06-04 23:59:16,tanto_majukarep,"Sejak tahun 90 hidup di Jogja, kota yg nyaman untuk pelajar dan mahasiswa se Nusantara, kini blm kelar klitih muncul pendekar ngamukan, Kanjeng Sultan dan @PoldaJogja  kembalikan lagi kenyamanan Jogja yang BERHATI NYAMAN...",in,0,1,10,4532
https://twitter.com/spocilt/status/1665508506676629505,2023-06-04 23:59:06,spocilt,"pendekar vs warga jogja, anjeng kaya gotham ini jogja lama lama",in,1,0,0,423
https://twitter.com/ba_wcksn/status/1665508066052419584,2023-06-04 23:57:21,ba_wcksn,"Bar nyerang trs nganggo Helm, diamanke Polisi, untung kwe ra mati. Pendekar Goblok koyo ngene iki rupane @zidanpragata",in,0,0,0,672
https://twitter.com/Lemineralae/status/1665507999287328771,2023-06-04 23:57:05,Lemineralae,Pendekar kok minta di evakuasi wkwkwkw,in,0,0,0,382
https://twitter.com/widodolestari/status/1665507852557905922,2023-06-04 23:56:30,widodolestari,Pulanglah. Pendekar ki yo butuh sarapan.,in,1,0,0,229
https://twitter.com/chrismaverick89/status/1665507836720467968,2023-06-04 23:56:26,chrismaverick89,Biasa mas. Sik diarani pendekar kalah tur ngamuk nggowo masa. Ngertiku sik pendekar wani ijen yo muk Pendekar Dari Goa Hantu.,in,1,0,1,319
https://twitter.com/P_Qubre/status/1665507792822890496,2023-06-04 23:56:16,P_Qubre,"Aliansi masyarakat jogja dr berbagai latar belakang kompak bgt, keren. Melawan pendekar rusuh alay pssst",in,0,0,1,599
https://twitter.com/mmppssahh/status/1665507592414609411,2023-06-04 23:55:28,mmppssahh,Ora gur jarene mas neng ndesoku basic.e FPI neng kene keras FPI Ono wong mabuk wae diseblak nggo Rante je opo meneh wonge pelatih teratai mas perguruan silat Soko Cino kui nek gur ngadepi cah cah pendekar wingi sore Yo dudu levele paling ora nek FPI Ki ngadepine aparat langsung,in,2,0,2,1549
https://twitter.com/Penak_ngepit/status/1665507493831688192,2023-06-04 23:55:04,Penak_ngepit,pendekar ngeleh kok wagu pendekar sego berkat,in,0,0,0,1219
https://twitter.com/annasrhmdd/status/1665507492737196032,2023-06-04 23:55:04,annasrhmdd,"tak kiro pendekar ki wani dewe, jebul baline iseh jaluk diterke",in,0,0,0,660
https://twitter.com/_sabtupahing/status/1665507492334321670,2023-06-04 23:55:04,_sabtupahing,Pendekar jebule yo butuh dopingan,in,0,0,0,169
https://twitter.com/sembada29/status/1665507383966138368,2023-06-04 23:54:38,sembada29,Wkwkwkw di lebar lebarke  tapi pendekar yang lain sudah pintar dan tau masalah ini dengan pendekar yang mana ?,in,0,0,1,482
https://twitter.com/4ndi5antoso/status/1665507196732596224,2023-06-04 23:53:53,4ndi5antoso,"Dasar Monyet

( Senin - Pendekar - Aku MilikMu )",in,1,0,1,1762
https://twitter.com/Apem11__/status/1665507182656524288,2023-06-04 23:53:50,Apem11__,"Ig fb tiktok pendekar e do gagah"" kabeeh, minim literasi, cepet tersulut emosi ",in,0,0,2,918
https://twitter.com/Rahmataa__/status/1665507158899974144,2023-06-04 23:53:44,Rahmataa__,"Iya ini , pendekar solo leveling",in,0,0,0,166
https://twitter.com/nandhangnda/status/1665507115090182144,2023-06-04 23:53:34,nandhangnda,Tahune pendekar,in,1,0,0,155
