tweet_links,created_at,usernames,full_text,language,reply,retweet,like,view
https://twitter.com/_agunghan/status/1666232109189705730,2023-06-06 23:54:26,_agunghan,"Lepas subuh beresin video, tentang Pendekar aren dari Lebak Banten.
.
",in,0,1,0,284
https://twitter.com/Chendra_Kaunang/status/1666231648302825472,2023-06-06 23:52:36,Chendra_Kaunang,"Pendekar Sintaro
#SintingSeparo ",in,0,2,6,160
https://twitter.com/Vivii_Ve/status/1666231439577464832,2023-06-06 23:51:46,Vivii_Ve,Admin bantu jawab laaaa @alfagift_idn,in,0,0,0,71
https://twitter.com/jyektimanunggal/status/1666231225986736128,2023-06-06 23:50:56,jyektimanunggal,Anies  PDIP  Cat 3  Bang Messi  Prophet Muhammad  Mario Dandy  Full Video  giselle  Ronaldo  gigi  Pendekar  PSHT Diajarin,in,0,0,1,258
https://twitter.com/ArdianDwiCahya9/status/1666230914177978369,2023-06-06 23:49:41,ArdianDwiCahya9,"Mending diusuruh bantu memberantas KKB di Papua mas, kita butuh PENDEKAR untuk menyelesaikan masalah KKB di Papua",in,0,0,0,117
https://twitter.com/KillaWolf13/status/1666230560380051456,2023-06-06 23:48:17,KillaWolf13,Salah aku nek aku ngongkon de e ngetokne jurus?..pendekar ndue jurus to?..WA ku gek di gagas mas..,in,0,0,0,59
https://twitter.com/gondo_nico/status/1666230419170406401,2023-06-06 23:47:43,gondo_nico,Aku wong biasa duduk pendekar,in,1,0,0,710
https://twitter.com/DAldian31/status/1666230166107062273,2023-06-06 23:46:43,DAldian31,lha pendekar masa ikut tawuran bos?,in,0,0,0,91
https://twitter.com/Adibalanshori21/status/1666228529036656641,2023-06-06 23:40:13,Adibalanshori21,"Sharelak-sharelok bar-barane sing teko wong sak RT , pendekar taek asu!!!",in,0,0,0,76
https://twitter.com/Ontosen1976/status/1666226635572666370,2023-06-06 23:32:41,Ontosen1976,"kamu ada keturunan dari arya dwipangga ~＞ PENDEKAR SYAIR BERDARAH 
",in,3,0,2,68
https://twitter.com/kurominyang/status/1666226602483806209,2023-06-06 23:32:33,kurominyang,YA KAN SPEECHLESS YANG DI FILM NYA CANDU PAS GROANING TERUS NYOBA NYANYI BERASA KITA ADALAH PENDEKAR,in,0,0,0,182
https://twitter.com/ibbellanjrah/status/1666226062848819200,2023-06-06 23:30:25,ibbellanjrah,"Ngopo wedi, Bro?
Pendekar kok senengane ngancem. Pendekar opowi?",in,1,0,3,261
https://twitter.com/galeri_bola_/status/1666225634522308608,2023-06-06 23:28:42,galeri_bola_,"Al Ahli & Al Shabab telah menghubungi Pierre Emerick Aubameyang untuk membahas transfernya ke Liga Arab Saudi.

Aubameyang menolak tawaran dari Klub MLS sebelumnya dan prioritasnya adalah tetap bermain di Eropa.

#galerisepakbola 
Full Video giselle PSHT Pendekar Diajarin Scam",in,0,0,5,3032
