tweet_links,created_at,usernames,full_text,language,reply,retweet,like,view
https://twitter.com/K0RNEER/status/1666220442531819523,2023-06-06 23:08:05,K0RNEER,"Semoga orang dr kelompok itu harus diusut tuntas sampai jalur hukum. Ga ikhlas bgt tamsis di rusak!!!!! 
Hukum seberat-beratnya, bener2 orang akal pendek. Tamsis dirusak woi, jahat bgt.",in,0,0,0,10
https://twitter.com/diraba_dilumat/status/1666195833107415041,2023-06-06 21:30:17,diraba_dilumat,"salah bro, tugas berat bangsa ini adalah membebaskan warga PSHT dari kebodohan. Contohnya dari kejadian di tamsis.",in,0,0,2,742
https://twitter.com/gusyahya7/status/1666181919284023296,2023-06-06 20:35:00,gusyahya7,"Niku pendopo tamsis nggeh dipertanggung jawabkan nggeh mpun dirusak, niku nilai sejarah e tinggi boten saget diganti ngangge arto, niku nek tanggung jawab",in,0,0,1,32
https://twitter.com/racheliiizzaaa/status/1666146387476762624,2023-06-06 18:13:48,racheliiizzaaa,sek omahe cedak tamsis nek ra rono rene lewat tamsis ki lo ketar ketir ket wingi,in,1,0,0,2906
https://twitter.com/ariefwijayant/status/1666141024291545088,2023-06-06 17:52:30,ariefwijayant,"Berarti polisi duwe gawean ngusut
1. Oknum BM yg menganiaya anggota psht
2. Provokator rombongan psht, mosok sakmono akehe raduwe ketua
3. Sing ngrusak pendopo tamsis, cctv sekitar kan ono. 

Jgn cuma petinggi yg damai wong ono kerugian matrial dan imaterial",in,1,0,5,1590
https://twitter.com/oradodoll/status/1666138768582283264,2023-06-06 17:43:32,oradodoll,"Sampean mending dolan neng tamsis, ningali bangunan pendopo tamsis kados pripun kahanane.",in,1,0,0,193
https://twitter.com/MuhammadIchbal5/status/1666138605620953088,2023-06-06 17:42:53,MuhammadIchbal5,suruh benerin tamsis min. mana nih rasa tanggung jawabnya?,in,0,0,0,341
https://twitter.com/bobashop12/status/1666129533668569089,2023-06-06 17:06:50,bobashop12,NYALI OKE? HAGENE NG TAMSIS YO SAMBAT NG POLISI NEK NYERAH AHAHAHAH,in,0,0,0,252
https://twitter.com/longaway21/status/1666125286755430402,2023-06-06 16:49:58,longaway21,"Jane diloloske, Ben ngerasakke koyo sek neng tamsis",in,1,0,0,717
https://twitter.com/Hellboy930/status/1666110323034820609,2023-06-06 15:50:30,Hellboy930,"Minimal banget kon resik2 wilayah tamsis, seminggu pisan selama setaun , nek ono wong liwat kon senyum karo jaluk ngapuro",in,0,0,0,108
https://twitter.com/ijksdasd/status/1666107517083226112,2023-06-06 15:39:21,ijksdasd,"wirogunan endi kwi?
tamsis?
tamsis kétoké ora rusuh dina iki...",fi,0,0,0,123
https://twitter.com/ulenxyz/status/1666104360856875010,2023-06-06 15:26:49,ulenxyz,Gacoan tamsis,in,0,0,0,160
https://twitter.com/WidyoLita/status/1666102567594786816,2023-06-06 15:19:41,WidyoLita,"Yes. Stuju banget, terutama poin 3 dari TamSis. Unggah-ungguh!",in,0,0,4,3126
https://twitter.com/BRidhaka/status/1666098292990828546,2023-06-06 15:02:42,BRidhaka,Terus rak Ono niatan ganti rugi go perbaikan museum Tamsis po ?? Gembel,in,0,0,0,367
https://twitter.com/rinta_devi/status/1666097553367257091,2023-06-06 14:59:45,rinta_devi,Pret. Kowe ki paling pengen melu rame2 wingi nang tamsis. Sek mumet karo bocah koyo kowe yo mamakmu nang ngomah.,in,1,0,0,417
https://twitter.com/TjeritaMoeda/status/1666095163062784009,2023-06-06 14:50:16,TjeritaMoeda,Kerusakan di tamsis tanggung jawab siapa?,in,1,0,0,3212
https://twitter.com/boesanidup/status/1666081885876019202,2023-06-06 13:57:30,boesanidup,kangen kucing yg di gacoan tamsis ,in,0,0,0,47
